artist_name,similar_name
리쌍,
원타임,
아웃사이더,
NO:EL,
다이나믹 듀오,
에픽하이,EPIK HIGH
MC 스나이퍼,MC SNIPER
Crush,
윤미래,YUNMIRAE
허니 패밀리,HONEY FAMILY
MINO,송민호
주석,
MC몽,
김진표,
DJ DOC,
긱스,Geeks
드렁큰 타이거,
조pd,ZoPD
BE'O,비오
가리온,
팔로알토,Paloalto
듀스,
지누션,
배치기,
CB Mass,
트웰브,twlv
원써겐,
김미정,
개코,
JAEHA,재하
아이들,여자아이들
버벌진트,
ILLSON,
MJ,써니사이드
비지,Bizzy
넉살,
루피,Loopy
제시,Jessi
영준,
이현도,
사이먼 도미닉,
바비 킴,
데프콘,
프리스타일,
Supreme Team,
디핵,D-Hack
Dok2,도끼
TOIL,
Paul Blanco,
업타운,
Don Mills,던밀스
BILL STAX,빌스택스
Fleeky Bang,
Woodie Gochild,
딥플로우,
우디,Woody
박재범,
한해,
Royal 44,
쿠기,Coogie
래원,Layone
기리보이,
Osshun Gum,
식케이,Sik-K
허클베리피,Huckleberry P
양홍원,
키디비,KittiB
pH-1,
릴보이,lIlBOI
Khundi Panda,
조광일,
맥대디,Mckdaddy
Kid Wine,
호미들,
길미,
헤이즈,Heize
원슈타인,
페노메코,PENOMECO
오왼,Owen
San E,산이
BOBBY,바비
로스,Los
sokodomo,
스윙스,
던말릭,DON MALIK
그루비룸,GroovyRoom
마이티 마우스,
The Quiett,더 콰이어트
빈첸,
한요한,
B.I,비아이
지코,ZICO
릴러말즈,Leellamarz
딘딘,DINDIN
매드클라운,
김효은,
피타입,P-TYPE
GRAY,그레이
코드 쿤스트,CODE KUNST
E SENS,이센스
빈지노,Beenzino
Yuzion,
화나,Fana
리듬파워,
DPR LIVE,
화지,
라비,RAVI
베이식,Basick
45RPM,
나플라,nafla
프라이머리,primary
이영지,
BewhY,비와이
